"Abrangência";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Turno";"Votação";
"";"";"1010";"MÁRCIO CARLOS MARINHO";"PRB";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"117.470"
"";"";"1012";"ERONILDES VASCONCELOS CARVALHO";"PRB";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"116.912"
"";"";"1322";"WALDENOR ALVES PEREIRA FILHO";"PT";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"114.965"
"";"";"2288";"JOÃO CARLOS PAOLILO BACELAR FILHO";"PR";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"111.643"
"";"";"1346";"NELSON VICENTE PORTELA PELLEGRINO";"PT";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"111.252"
"";"";"1123";"ROBERTO PEREIRA DE BRITTO";"PP";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"110.822"
"";"";"2526";"PAULO VELLOSO DANTAS AZI";"DEM";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"110.662"
"";"";"4545";"JUTAHY MAGALHÃES JUNIOR";"PSDB";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"108.476"
"";"";"5577";"JOSÉ NUNES SOARES";"PSD";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"105.776"
"";"";"2555";"JOSÉ CARLOS ALELUIA COSTA";"DEM";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"101.924"
"";"";"2222";"JOSÉ ALVES ROCHA";"PR";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"101.663"
"";"";"1312";"JOSIAS GOMES DA SILVA";"PT";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"98.871"
"";"";"4013";"ADALBERTO SOUZA GALVAO";"PSB";"PSB / PSL / PPL";"1";"96.134"
"";"";"7712";"ARTHUR DE OLIVEIRA MAIA DA SILVA";"SD";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"95.698"
